GW Site/SW Distance Threshold,GW-GW Distance Threshold,GW Features,SW Nodes,GW Nodes,PFAS Nodes,GW-SW Edges,SW-GW Edges,GW-PFAS Edges,PFAS-GW Edges,SW-PFAS Edges,PFAS-SW Edges,GW-GW Edges
5000,2000,"SWL, DEM, lithological",96,1636,179,8922,8922,12526,12526,845,845,42909
10000,1000,DEM,96,1636,179,28666,28666,36487,36487,2475,2475,14471
5000,1000,DEM,96,1636,179,8922,8922,12526,12526,845,845,14471
7500,2500,DEM,96,1636,179,17553,17553,23082,23082,1548,1548,57331
5000,2500,DEM,96,1636,179,8922,8922,12526,12526,845,845,57331
5000,1000,"SWL, DEM, lithological",96,1636,179,8922,8922,12526,12526,845,845,14471
7500,1000,"SWL, DEM, lithological",96,1636,179,17553,17553,23082,23082,1548,1548,14471
5000,2500,"SWL, DEM",96,1636,179,8922,8922,12526,12526,845,845,57331
10000,1000,"SWL, DEM, lithological",96,1636,179,28666,28666,36487,36487,2475,2475,14471
7500,2500,"SWL, DEM, lithological",96,1636,179,17553,17553,23082,23082,1548,1548,57331
10000,2500,"SWL, DEM, lithological",96,1636,179,28666,28666,36487,36487,2475,2475,57331
5000,5000,"SWL, DEM",96,1636,179,8922,8922,12526,12526,845,845,164183
5000,5000,"SWL, DEM, lithological",96,1636,179,8922,8922,12526,12526,845,845,164183
7500,5000,"SWL, DEM",96,1636,179,17553,17553,23082,23082,1548,1548,164183
10000,5000,"SWL, DEM, lithological",96,1636,179,28666,28666,36487,36487,2475,2475,164183
7500,1000,"SWL, DEM",96,1636,179,17553,17553,23082,23082,1548,1548,14471
7500,5000,DEM,96,1636,179,17553,17553,23082,23082,1548,1548,164183
10000,1000,"SWL, DEM",96,1636,179,28666,28666,36487,36487,2475,2475,14471
7500,2500,"SWL, DEM",96,1636,179,17553,17553,23082,23082,1548,1548,57331
10000,5000,DEM,96,1636,179,28666,28666,36487,36487,2475,2475,164183
5000,1000,"SWL, DEM",96,1636,179,8922,8922,12526,12526,845,845,14471
10000,2500,"SWL, DEM",96,1636,179,28666,28666,36487,36487,2475,2475,57331
10000,2500,DEM,96,1636,179,28666,28666,36487,36487,2475,2475,57331
5000,2500,"SWL, DEM, lithological",96,1636,179,8922,8922,12526,12526,845,845,57331
7500,5000,"SWL, DEM, lithological",96,1636,179,17553,17553,23082,23082,1548,1548,164183
5000,5000,DEM,96,1636,179,8922,8922,12526,12526,845,845,164183
10000,5000,"SWL, DEM",96,1636,179,28666,28666,36487,36487,2475,2475,164183
7500,1000,DEM,96,1636,179,17553,17553,23082,23082,1548,1548,14471
